task_id,oracle_bucket,baseline_selected_length,route2_primary_selected_length,route2_selected_length,route2_rescue_length,route2_selected_minus_oracle_length,route2_abs_selected_minus_oracle_length,route2_primary_stop_reason,route2_final_source,route2_trace_top1_last,route2_trace_top1_median,route2_trace_confidence_max,route2_trace_max_remaining_plateau_steps,route2_best_len,route2_best_long_len,route2_long_score_max,route2_long_ratio,classes,pairwise,oracle_length,baseline_passed,route2_passed,route2_triggered,rescue_len_ge_oracle
SingleLineInfilling/HumanEval/146/L6,25+,11,11,11,,-16,16,global_gap_early_commit,primary,0.98828125,0.7578125,0.99609375,5.0,11.0,24.0,0.7373901084153132,0.7784566213926885,tie_fail;missed_failed_long;unchanged_fail,tie_fail,27,False,False,False,
SingleLineInfilling/HumanEval/147/L0,17-24,16,16,16,,-6,6,global_gap_early_commit,primary,0.7109375,0.7421875,0.890625,4.0,16.0,16.0,0.9641697899952024,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,22,False,False,False,
SingleLineInfilling/HumanEval/148/L0,25+,4,4,4,,-32,32,no_remaining_masks,primary,0.11474609375,0.5078125,0.77734375,16.0,4.0,13.0,0.44650128337870765,0.6115199508141315,tie_fail;missed_failed_long;unchanged_fail,tie_fail,36,False,False,False,
SingleLineInfilling/HumanEval/148/L6,17-24,15,15,15,,-3,3,global_gap_early_commit,primary,0.9765625,0.98828125,0.9921875,4.0,15.0,15.0,1.1626420636626165,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,18,False,False,False,
SingleLineInfilling/HumanEval/148/L8,17-24,12,12,12,,-6,6,global_gap_early_commit,primary,0.69140625,0.8359375,0.90234375,5.0,7.0,13.0,0.943120057748903,0.8768695312549593,tie_fail;missed_failed_long;unchanged_fail,tie_fail,18,False,False,False,
SingleLineInfilling/HumanEval/153/L1,25+,7,7,7,,-41,41,global_gap_early_commit,primary,0.859375,0.904296875,0.9296875,8.0,7.0,13.0,0.706201009425507,0.6787566083574283,tie_fail;missed_failed_long;unchanged_fail,tie_fail,48,False,False,False,
SingleLineInfilling/HumanEval/153/L3,25+,7,7,7,,-34,34,global_gap_early_commit,primary,0.796875,0.837890625,0.8828125,8.0,4.0,15.0,0.6387638215379593,0.6349043904758082,tie_fail;missed_failed_long;unchanged_fail,tie_fail,41,False,False,False,
SingleLineInfilling/HumanEval/156/L2,17-24,8,8,8,,-15,15,global_gap_early_commit,primary,0.8203125,0.849609375,0.89453125,8.0,5.0,20.0,0.9350865926533101,0.9209617479034392,tie_fail;missed_failed_long;unchanged_fail,tie_fail,23,False,False,False,
SingleLineInfilling/HumanEval/160/L1,17-24,13,13,13,,-7,7,global_gap_early_commit,primary,0.80078125,0.921875,0.96484375,4.0,13.0,13.0,1.1253654795361305,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,20,False,False,False,
SingleLineInfilling/HumanEval/32/L1,17-24,7,7,7,,-13,13,global_gap_early_commit,primary,0.91796875,0.94140625,0.95703125,8.0,7.0,13.0,0.7790991781403981,0.7273392138260576,tie_fail;missed_failed_long;unchanged_fail,tie_fail,20,False,False,False,
